homeownership,annual_income,debt_to_income,loan_purpose,loan_amount,balance,term,interest_rate
RENT,40000.0,24.27,debt_consolidation,10000,9023.01,36,9.44
MORTGAGE,47000.0,16.11,home_improvement,20000,19128.86,60,17.09
RENT,50000.0,13.66,debt_consolidation,28000,27347.74,60,14.07
MORTGAGE,100000.0,15.98,debt_consolidation,36000,32482.85,36,9.44
MORTGAGE,110000.0,24.97,credit_card,35000,8210.29,36,10.9
RENT,32000.0,14.82,house,8000,7480.61,36,17.47
RENT,50676.0,30.69,debt_consolidation,8000,7392.94,36,6.71
RENT,45000.0,25.41,other,16000,14575.47,36,16.02
RENT,55000.0,24.22,debt_consolidation,15000,14526.88,60,28.72
RENT,57000.0,21.43,other,15000,14452.23,60,12.61
RENT,65000.0,3.47,debt_consolidation,15000,13871.88,36,7.34
MORTGAGE,80000.0,16.2,credit_card,10000,9399.96,60,13.59
MORTGAGE,30600.0,40.75,debt_consolidation,12800,10661.53,36,5.32
OWN,25000.0,0.0,major_purchase,6000,5587.52,36,13.58
RENT,61000.0,19.28,debt_consolidation,11200,10651.9,60,12.62
RENT,45000.0,33.41,debt_consolidation,10000,9347.1,36,17.09
OWN,39520.0,28.88,credit_card,25500,0.0,60,10.42
RENT,350000.0,16.99,other,32000,30506.39,36,11.98
MORTGAGE,35000.0,39.37,home_improvement,20000,18592.74,36,11.98
OWN,90000.0,12.07,debt_consolidation,17600,17103.55,60,10.9
OWN,50000.0,16.11,credit_card,10000,9312.56,36,13.58
RENT,80000.0,0.38,other,8000,7649.37,36,16.02
OWN,43000.0,31.37,debt_consolidation,5000,4675.37,36,17.47
RENT,70000.0,29.64,debt_consolidation,4000,3545.78,36,15.05
MORTGAGE,82000.0,9.39,debt_consolidation,1500,546.97,36,7.35
RENT,66000.0,24.67,debt_consolidation,26500,25671.41,60,18.45
MORTGAGE,58000.0,5.01,other,2000,1846.85,36,6.07
MORTGAGE,102000.0,28.68,debt_consolidation,14000,12999.43,36,10.9
MORTGAGE,35000.0,11.83,debt_consolidation,8000,7234.29,36,10.91
MORTGAGE,91690.0,21.56,credit_card,25000,24409.95,60,13.58
MORTGAGE,41000.0,41.51,home_improvement,32000,30759.92,60,21.45
RENT,85000.0,12.74,debt_consolidation,10000,9029.64,36,9.93
OWN,19000.0,13.14,house,14375,13826.24,60,10.9
MORTGAGE,45000.0,34.8,debt_consolidation,16000,15236.35,60,13.59
OWN,86000.0,12.46,debt_consolidation,25200,24102.35,60,17.09
MORTGAGE,115000.0,9.52,debt_consolidation,40000,37080.14,36,9.43
RENT,100000.0,17.86,other,40000,37877.64,60,9.43
MORTGAGE,60000.0,14.68,debt_consolidation,31000,29483.03,60,12.62
OWN,59000.0,13.05,credit_card,10000,9510.61,60,12.62
RENT,44346.0,20.27,debt_consolidation,4800,4516.88,36,23.87
RENT,60000.0,29.4,debt_consolidation,32000,28725.07,36,6.08
MORTGAGE,58500.0,30.09,debt_consolidation,30000,26885.89,36,21.45
MORTGAGE,47500.0,42.27,debt_consolidation,23500,22089.96,60,13.59
RENT,19000.0,21.6,debt_consolidation,7000,6468.81,36,6.71
OWN,120000.0,33.42,credit_card,3000,2615.22,36,6.08
OWN,52000.0,17.93,debt_consolidation,4300,3776.27,36,9.93
MORTGAGE,90000.0,23.75,other,5800,5363.77,36,7.34
RENT,50000.0,3.57,debt_consolidation,10000,8749.43,36,7.97
OWN,100000.0,1.25,medical,25000,23729.95,60,20.0
RENT,85000.0,14.08,debt_consolidation,30000,29291.94,60,13.58
RENT,71000.0,30.16,debt_consolidation,10000,9029.63,36,9.93
MORTGAGE,120000.0,17.91,debt_consolidation,24000,20973.65,36,7.35
OWN,88000.0,13.51,debt_consolidation,17000,16098.2,60,9.44
OWN,107000.0,28.93,debt_consolidation,35000,32644.79,36,15.04
RENT,30000.0,9.04,other,1600,1443.67,36,9.44
RENT,144000.0,17.52,debt_consolidation,35000,32559.72,36,12.61
OWN,55000.0,35.41,major_purchase,10000,8864.46,36,15.05
OWN,120000.0,5.15,debt_consolidation,24775,23792.95,60,9.43
OWN,20000.0,12.02,debt_consolidation,3500,3161.11,36,26.3
RENT,42000.0,9.91,debt_consolidation,7200,6840.1,36,7.34
OWN,48000.0,22.05,debt_consolidation,12000,11175.27,36,13.58
RENT,92000.0,16.42,debt_consolidation,16000,15622.37,60,13.58
MORTGAGE,60000.0,18.46,debt_consolidation,16000,14856.47,36,10.9
RENT,32500.0,9.93,small_business,6500,6035.43,36,10.9
RENT,52000.0,16.39,credit_card,18000,17210.45,60,6.71
MORTGAGE,36000.0,29.73,debt_consolidation,20000,19236.53,60,10.9
RENT,55000.0,21.89,debt_consolidation,20000,19224.93,60,21.45
OWN,120000.0,12.79,other,10000,9317.45,36,14.07
MORTGAGE,198000.0,7.26,small_business,40000,35160.4,36,10.42
MORTGAGE,41000.0,23.19,credit_card,8000,6973.97,36,6.08
MORTGAGE,32760.0,17.0,debt_consolidation,12000,11136.26,36,10.41
MORTGAGE,38000.0,16.27,debt_consolidation,17600,16997.02,60,15.04
MORTGAGE,104000.0,10.97,debt_consolidation,9000,8303.4,36,5.31
RENT,100000.0,13.28,moving,10000,9657.41,60,15.04
OWN,95000.0,15.98,debt_consolidation,40000,38114.92,60,14.08
MORTGAGE,60000.0,16.74,home_improvement,5000,4623.95,36,7.34
MORTGAGE,40000.0,19.77,debt_consolidation,11000,9993.16,36,14.08
MORTGAGE,90000.0,20.59,debt_consolidation,40000,39115.59,60,16.01
MORTGAGE,40000.0,18.33,debt_consolidation,20000,18939.06,60,9.44
MORTGAGE,110000.0,13.6,credit_card,20000,18346.12,36,9.92
OWN,59000.0,18.26,other,6000,5289.39,36,11.99
RENT,39900.0,5.89,debt_consolidation,3000,2652.39,36,13.59
OWN,80000.0,26.43,debt_consolidation,28000,25832.87,36,5.31
MORTGAGE,104000.0,23.24,home_improvement,5000,4432.23,36,15.05
MORTGAGE,100000.0,14.54,credit_card,35000,31626.47,36,10.41
RENT,55000.0,13.41,credit_card,11000,9252.0,36,6.72
RENT,27500.0,11.26,moving,1450,1358.0,36,19.03
RENT,90000.0,15.72,moving,15000,14254.01,60,11.99
RENT,55000.0,23.35,credit_card,2500,2224.02,36,17.09
MORTGAGE,35000.0,31.68,major_purchase,7000,6552.11,36,18.45
RENT,42000.0,17.66,car,2000,0.0,36,17.09
OWN,166400.0,13.15,home_improvement,40000,38629.65,60,15.04
OWN,50000.0,24.0,moving,25000,24021.35,60,9.92
MORTGAGE,45000.0,0.67,other,2100,1942.06,36,7.34
OWN,50000.0,3.44,debt_consolidation,4000,3481.79,36,5.32
MORTGAGE,195000.0,17.95,home_improvement,38400,35709.59,60,7.35
MORTGAGE,90000.0,12.13,debt_consolidation,15000,14456.11,60,23.88
RENT,75000.0,17.23,debt_consolidation,10000,9257.72,36,14.07
RENT,35000.0,29.15,debt_consolidation,5000,4374.69,36,15.05
RENT,48000.0,27.87,home_improvement,12000,11089.41,36,6.71
MORTGAGE,115000.0,23.93,debt_consolidation,25000,21820.89,36,6.72
RENT,48000.0,7.13,other,5000,4497.14,36,7.35
MORTGAGE,36609.0,45.25,credit_card,6000,5401.71,36,7.97
OWN,85000.0,8.89,other,35000,0.0,60,10.42
RENT,78000.0,5.8,credit_card,12500,11157.27,36,19.03
