homeownership,loan_purpose,annual_income,debt_to_income,loan_amount,balance,term,interest_rate
MORTGAGE,home_improvement,75500.0,19.3,6000,5581.66,36,12.61
MORTGAGE,car,92000.0,16.51,12000,11081.12,36,6.07
MORTGAGE,debt_consolidation,150000.0,33.45,40000,38132.99,36,11.98
RENT,debt_consolidation,70000.0,14.73,10000,9502.67,60,11.99
RENT,debt_consolidation,80000.0,25.44,30000,28199.99,60,13.59
RENT,other,60000.0,16.46,15000,13564.27,36,10.91
MORTGAGE,debt_consolidation,46128.0,34.0,24000,23607.34,60,26.77
MORTGAGE,debt_consolidation,0.0,19.30819165998396,15000,13872.03,36,7.35
RENT,debt_consolidation,112000.0,15.34,16000,15460.45,60,26.3
MORTGAGE,credit_card,62000.0,24.99,21000,19972.37,60,12.62
RENT,debt_consolidation,30000.0,46.36,16000,14765.45,36,25.82
MORTGAGE,home_improvement,90000.0,19.55,5000,4358.7,36,6.08
RENT,debt_consolidation,98000.0,29.94,30000,28772.99,60,25.81
RENT,debt_consolidation,55000.0,16.56,16000,15282.95,60,16.01
MORTGAGE,credit_card,196000.0,24.38,28000,25472.33,36,15.05
RENT,debt_consolidation,41000.0,8.99,1000,873.89,36,7.35
OWN,other,38400.0,6.53,10000,9023.01,36,9.44
RENT,debt_consolidation,28600.0,24.13,10000,9407.42,60,14.08
RENT,debt_consolidation,122000.0,24.8,16000,14938.56,36,16.01
MORTGAGE,credit_card,440000.0,21.37,24000,21057.47,36,9.44
MORTGAGE,debt_consolidation,65000.0,12.37,10000,9537.61,36,12.61
MORTGAGE,debt_consolidation,78000.0,15.28,14000,13465.57,60,10.9
OWN,debt_consolidation,95000.0,11.33,28000,25875.28,36,6.71
MORTGAGE,home_improvement,85000.0,29.58,25000,22574.16,36,9.93
MORTGAGE,debt_consolidation,180000.0,21.05,8400,7862.53,36,18.45
RENT,car,45000.0,8.83,4000,3512.8,36,9.93
MORTGAGE,debt_consolidation,31200.0,33.19,2200,2007.09,36,17.09
RENT,debt_consolidation,26000.0,26.13,6300,5882.04,36,16.01
RENT,credit_card,76000.0,20.31,30000,26956.19,36,6.71
MORTGAGE,debt_consolidation,144000.0,22.37,35000,34107.48,60,25.81
MORTGAGE,credit_card,185000.0,9.71,30000,27008.64,36,7.97
MORTGAGE,debt_consolidation,120000.0,7.81,25000,21847.54,36,7.35
RENT,debt_consolidation,67000.0,9.6,15000,13905.04,36,9.43
RENT,credit_card,70000.0,23.32,35000,33721.87,60,12.61
MORTGAGE,debt_consolidation,65000.0,14.73,25000,23928.85,60,26.3
RENT,debt_consolidation,70000.0,3.46,10000,9042.83,36,10.91
MORTGAGE,debt_consolidation,146000.0,9.3,10000,9241.17,36,6.71
MORTGAGE,debt_consolidation,72000.0,4.53,15000,14486.1,60,15.04
RENT,home_improvement,32000.0,21.22,3600,3158.61,36,9.44
RENT,debt_consolidation,157000.0,5.74,35000,33721.87,60,12.61
